"SHAPE","LANDMARK","X","Y"
"1",1,"0.247","-0.269"
"2",2,"-0.602","0.008"
"3",3,"0.253","0.277"
"4",4,"0.277","0.130"
"5",5,"-0.435","-0.012"
"6",6,"0.261","-0.134"
"1",1,"0.287","-0.275"
"2",2,"-0.629","-0.000"
"3",3,"0.274","0.285"
"4",4,"0.264","0.069"
"5",5,"-0.412","0.001"
"6",6,"0.216","-0.080"
"1",1,"0.261","-0.264"
"2",2,"-0.573","0.002"
"3",3,"0.272","0.266"
"4",4,"0.248","0.201"
"5",5,"-0.453","-0.005"
"6",6,"0.245","-0.200"
"1",1,"0.253","-0.275"
"2",2,"-0.618","-0.007"
"3",3,"0.259","0.279"
"4",4,"0.266","0.113"
"5",5,"-0.415","0.009"
"6",6,"0.255","-0.119"
"1",1,"0.263","-0.284"
"2",2,"-0.583","-0.003"
"3",3,"0.274","0.279"
"4",4,"0.206","0.207"
"5",5,"-0.421","0.013"
"6",6,"0.261","-0.212"
"1",1,"0.268","-0.294"
"2",2,"-0.639","-0.002"
"3",3,"0.310","0.285"
"4",4,"0.191","0.110"
"5",5,"-0.377","-0.001"
"6",6,"0.246","-0.097"
"1",1,"0.321","-0.238"
"2",2,"-0.694","0.010"
"3",3,"0.328","0.209"
"4",4,"0.195","0.073"
"5",5,"-0.375","-0.008"
"6",6,"0.225","-0.046"
"1",1,"0.245","-0.342"
"2",2,"-0.626","0.027"
"3",3,"0.226","0.340"
"4",4,"0.238","0.162"
"5",5,"-0.330","-0.022"
"6",6,"0.248","-0.165"
"1",1,"0.234","-0.357"
"2",2,"-0.612","-0.005"
"3",3,"0.249","0.349"
"4",4,"0.242","0.150"
"5",5,"-0.346","0.003"
"6",6,"0.233","-0.141"
"1",1,"0.314","-0.240"
"2",2,"-0.687","-0.001"
"3",3,"0.319","0.241"
"4",4,"0.216","0.057"
"5",5,"-0.371","0.002"
"6",6,"0.207","-0.059"
