Shape,Landmark,X,Y
1,1,0.419,0.011
1,2,0.282,0.615
1,3,0.000,0.637
1,4,0.005,0.869
1,5,0.984,0.869
1,6,0.998,0.615
1,7,0.727,0.613
1,8,0.610,0.005
2,1,0.417,0.022
2,2,0.288,0.621
2,3,0.027,0.605
2,4,0.013,0.863
2,5,0.980,0.858
2,6,0.991,0.625
2,7,0.732,0.619
2,8,0.605,0.027
3,1,0.434,0.013
3,2,0.370,0.563
3,3,0.007,0.628
3,4,0.009,0.857
3,5,0.976,0.860
3,6,0.993,0.633
3,7,0.635,0.555
3,8,0.604,0.007
4,1,0.348,0.011
4,2,0.418,0.663
4,3,0.022,0.638
4,4,0.000,0.867
4,5,0.998,0.865
4,6,1.000,0.613
4,7,0.683,0.546
4,8,0.618,0.013
5,1,0.404,0.007
5,2,0.346,0.661
5,3,0.004,0.649
5,4,0.000,0.852
5,5,0.991,0.872
5,6,1.000,0.607
5,7,0.744,0.524
5,8,0.589,0.018
6,1,0.369,0.000
6,2,0.369,0.596
6,3,0.002,0.627
6,4,0.013,0.867
6,5,0.984,0.867
6,6,1.000,0.629
6,7,0.638,0.593
6,8,0.620,0.000
7,1,0.389,0.011
7,2,0.454,0.631
7,3,0.009,0.674
7,4,0.000,0.852
7,5,0.993,0.865
7,6,1.000,0.654
7,7,0.645,0.537
7,8,0.569,0.000
8,1,0.396,0.023
8,2,0.417,0.450
8,3,0.108,0.484
8,4,0.000,0.766
8,5,0.986,0.766
8,6,0.923,0.495
8,7,0.577,0.462
8,8,0.604,0.020
9,1,0.436,0.007
9,2,0.372,0.442
9,3,0.099,0.485
9,4,0.009,0.758
9,5,0.998,0.761
9,6,0.912,0.483
9,7,0.630,0.449
9,8,0.580,0.007
10,1,0.384,0.022
10,2,0.447,0.654
10,3,0.076,0.676
10,4,0.000,0.870
10,5,0.998,0.861
10,6,0.957,0.625
10,7,0.658,0.548
10,8,0.578,0.022
